,Unnamed: 0,doi,predicateLabel,paper_title,contribution,research_field_label,unpaywall_abstract
1,1, 10.1128/JVI.00837-18,research problem,A novel nanobody targeting Middle East respiratory syndrome coronavirus (MERS-CoV) receptor-binding domain has potent cross-neutralizing activity and protective efficacy against MERS-CoV,http://orkg.org/orkg/resource/R141400,Medicinal Chemistry and Pharmaceutics,"
            Therapeutic development is critical for preventing and treating continual MERS-CoV infections in humans and camels. Because of their small size, nanobodies (Nbs) have advantages as antiviral therapeutics (e.g., high expression yield and robustness for storage and transportation) and also potential limitations (e.g., low antigen-binding affinity and fast renal clearance). Here, we have developed novel Nbs that specifically target the receptor-binding domain (RBD) of MERS-CoV spike protein. They bind to a conserved site on MERS-CoV RBD with high affinity, blocking RBD's binding to MERS-CoV receptor. Through engineering a C-terminal human Fc tag, the
            <jats:italic>in vivo</jats:italic>
            half-life of the Nbs is significantly extended. Moreover, the Nbs can potently cross-neutralize the infections of diverse MERS-CoV strains isolated from humans and camels. The Fc-tagged Nb also completely protects humanized mice from lethal MERS-CoV challenge. Taken together, our study has discovered novel Nbs that hold promise as potent, cost-effective, and broad-spectrum anti-MERS-CoV therapeutic agents.
          "
42,42,10.1002/2014GB004886,"research problem, research problem, research problem, research problem",Heterotrophic bacteria as major nitrogen fixers in the euphotic zone of the Indian Ocean: NITROGEN FIXATION IN THE INDIAN OCEAN,http://orkg.org/orkg/resource/R138492,Oceanography,"Diazotrophy in the Indian Ocean is poorly understood compared to that in the Atlantic and Pacific Oceans. We first examined the basin‐scale community structure of diazotrophs and their nitrogen fixation activity within the euphotic zone during the northeast monsoon period along about 69°E from 17°N to 20°S in the oligotrophic Indian Ocean, where a shallow nitracline (49–59 m) prevailed widely and the sea surface temperature (SST) was above 25°C. Phosphate was detectable at the surface throughout the study area. The dissolved iron concentration and the ratio of iron to nitrate + nitrite at the surface were significantly higher in the Arabian Sea than in the equatorial and southern Indian Ocean. Nitrogen fixation in the Arabian Sea (24.6–47.1 μmolN m<jats:sup>−2</jats:sup> d<jats:sup>−1</jats:sup>) was also significantly greater than that in the equatorial and southern Indian Ocean (6.27–16.6 μmolN m<jats:sup>−2</jats:sup> d<jats:sup>−1</jats:sup>), indicating that iron could control diazotrophy in the Indian Ocean. Phylogenetic analysis of <jats:italic>nifH</jats:italic> showed that most diazotrophs belonged to the Proteobacteria and that cyanobacterial diazotrophs were absent in the study area except in the Arabian Sea. Furthermore, nitrogen fixation was not associated with light intensity throughout the study area. These results are consistent with nitrogen fixation in the Indian Ocean, being largely performed by heterotrophic bacteria and not by cyanobacteria. The low cyanobacterial diazotrophy was attributed to the shallow nitracline, which is rarely observed in the Pacific and Atlantic oligotrophic oceans. Because the shallower nitracline favored enhanced upward nitrate flux, the competitive advantage of cyanobacterial diazotrophs over nondiazotrophic phytoplankton was not as significant as it is in other oligotrophic oceans."
43,43,10.1002/2014GL060310,"research problem, Supplimentary Information, Processing, References, Preprocessing, Study Area, Study Area, Techniques, Instrument, research problem",Mineralogy of the MSL Curiosity landing site in Gale crater as observed by MRO/CRISM,http://orkg.org/orkg/resource/R139662,Planetary Sciences,"Orbital data acquired by the Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) and High Resolution Imaging Science Experiment instruments on the Mars Reconnaissance Orbiter (MRO) provide a synoptic view of compositional stratigraphy on the floor of Gale crater surrounding the area where the Mars Science Laboratory (MSL) Curiosity landed. Fractured, light‐toned material exhibits a 2.2 µm absorption consistent with enrichment in hydroxylated silica. This material may be distal sediment from the Peace Vallis fan, with cement and fracture fill containing the silica. This unit is overlain by more basaltic material, which has 1 µm and 2 µm absorptions due to pyroxene that are typical of Martian basaltic materials. Both materials are partially obscured by aeolian dust and basaltic sand. Dunes to the southeast exhibit differences in mafic mineral signatures, with barchan dunes enhanced in olivine relative to pyroxene‐containing longitudinal dunes. This compositional difference may be related to aeolian grain sorting."
44,44,10.1002/2014ef000239,"research problem, Global Mean Sea level Rise Projection, research problem, Global Mean Sea level Rise Projection, research problem, research problem, Global Mean Sea level Rise Projection, research problem, research problem, Global Mean Sea level Rise Projection, Global Mean Sea level Rise Projection, Global Mean Sea level Rise Projection",Probabilistic 21st and 22nd century sea-level projections at a global network of tide-gauge sites.,http://orkg.org/orkg/resource/R48267,Climate,"Sea‐level rise due to both climate change and non‐climatic factors threatens coastal settlements, infrastructure, and ecosystems. Projections of mean global sea‐level (GSL) rise provide insufficient information to plan adaptive responses; local decisions require local projections that accommodate different risk tolerances and time frames and that can be linked to storm surge projections. Here we present a global set of local sea‐level (LSL) projections to inform decisions on timescales ranging from the coming decades through the 22nd century. We provide complete probability distributions, informed by a combination of expert community assessment, expert elicitation, and process modeling. Between the years 2000 and 2100, we project a <jats:italic>very likely</jats:italic> (90% probability) GSL rise of 0.5–1.2 m under representative concentration pathway (RCP) 8.5, 0.4–0.9 m under RCP 4.5, and 0.3–0.8 m under RCP 2.6. Site‐to‐site differences in LSL projections are due to varying non‐climatic background uplift or subsidence, oceanographic effects, and spatially variable responses of the geoid and the lithosphere to shrinking land ice. The Antarctic ice sheet (AIS) constitutes a growing share of variance in GSL and LSL projections. In the global average and at many locations, it is the dominant source of variance in late 21st century projections, though at some sites oceanographic processes contribute the largest share throughout the century. LSL rise dramatically reshapes flood risk, greatly increasing the expected number of “1‐in‐10” and “1‐in‐100” year events.</jats:sec>"
45,45,10.1002/2015GL065273,"Preprocessing, Techniques/Methods, research problem, Study Area, Supplementary information",In situ optical measurements of Chang'E‐3 landing site in Mare Imbrium: 1. Mineral abundances inferred from spectral reflectance,http://orkg.org/orkg/resource/R160483,Planetary Sciences,The visible and near‐infrared imaging spectrometer on board the Yutu Rover of Chinese Chang'E‐3 mission measured the lunar surface reflectance at a close distance (~1 m) and collected four spectra at four different sites. These in situ lunar spectra have revealed less mature features than that measured remotely by spaceborne sensors such as the Moon Mineralogy Mapper instrument on board the Chandrayaan‐1 mission and the Spectral Profiler on board the Kaguya over the same region. Mineral composition analysis using a spectral lookup table populated with a radiative transfer mixing model has shown that the regolith at the landing site contains high abundance of olivine. The mineral abundance results are consistent with that inferred from the compound measurement made by the on board alpha‐particle X‐ray spectrometer.
46,46,10.1002/2015GL066537,research problem,Regolith stratigraphy at the Chang'E‐3 landing site as seen by lunar penetrating radar,http://orkg.org/orkg/resource/R138155,Planetary Sciences,"The Chang'E‐3 lunar penetrating radar (LPR) observations at 500 MHz reveal four major stratigraphic zones from the surface to a depth of ~20 m along the survey line: a layered reworked zone (&lt;1 m), an ejecta layer (~2–6 m), a paleoregolith layer (~4–11 m), and the underlying mare basalts. The reworked zone has two to five distinct layers and consists of surface regolith. The paleoregolith buried by the ejecta from a 500 m crater is relatively homogenous and contains only a few rocks. Population of buried rocks increases with depth to ~2 m at first, and then decreases with depth, representing a balance between initial deposition of the ejecta and later turnover of the regolith. Combining with the surface age, the LPR observations indicate a mean accumulation rate of about 5–10 m/Gyr for the surface regolith, which is at least 4–8 times larger than previous estimation."
47,47,10.1002/2016GL068956,"Supplimentary Information, research problem, Study Area, Study Area, research problem, Preprocessing, Instrument, Techniques, References, Processing",New insights into gully formation on Mars: Constraints from composition as seen by MRO/CRISM: GULLY FORMATION ON MARS AS SEEN BY CRISM,http://orkg.org/orkg/resource/R155225,Planetary Sciences,"Over 100 Martian gully sites were analyzed using orbital data collected by the Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) and High Resolution Imaging Science Experiment on the Mars Reconnaissance Orbiter (MRO). Most gullies are spectrally indistinct from their surroundings, due to mantling by dust. Where spectral information on gully sediments was obtained, a variety of mineralogies were identified. Their relationship to the source rock suggests that gully‐forming processes transported underlying material downslope. There is no evidence for specific compositions being more likely to be associated with gullies or with the formation of hydrated minerals in situ as a result of recent liquid water activity. Seasonal CO<jats:sub>2</jats:sub> and H<jats:sub>2</jats:sub>O frosts were observed in gullies at middle to high latitudes, consistent with seasonal frost‐driven processes playing important roles in the evolution of gullies. Our results do not clearly indicate a role for long‐lived liquid water in gully formation and evolution."
48,48,10.1002/2016ms000809,"approach, method, Data, result, research problem",Improved MJO-simulation in ECHAM6.3 by coupling a Stochastic Multicloud Model to the convection scheme: COUPLING THE SMCM TO ECHAM6.3,http://orkg.org/orkg/resource/R56050,Atmospheric Sciences,"We implement a Stochastic Multicloud Model (SMCM) in an observation‐informed configuration into the convection scheme of the state‐of‐the‐art GCM ECHAM6.3. The SMCM configuration we use here has been tuned to represent observed tropical convection by associating the occurrence and strength of deep convection to midtropospheric vertical velocity and relative humidity. We show that compared to the ECHAM6.3 standard model, the SMCM‐modified version shows improved capacity to simulate features of tropical intraseasonal variability, including MJO‐like disturbances, without significantly distorting the mean model climate. This improvement goes in hand with ameliorated coupling of atmospheric convection to tropospheric moisture and spatiotemporal coherence of tropical convection compared to reanalysis and observations. We attribute these effects to (i) improved coupling of triggering and suppression of deep convective events to the model's large‐scale environment and (ii) the observations‐informed closure formulation which leads to an overall reduction of deep convective mass fluxes. Sensitivity tests show that while (ii) improves the convection‐moisture relationship, it is (i) which improves the spatiotemporal coherence of tropical rainfall and is important for MJO simulation. Further, the simulated spatiotemporal coherence of tropical rainfall is an intrinsic property of the convection schemes themselves and not of their parameters. We stress that this study serves as a proof‐of‐concept and motivates further efforts towards building a novel convection parameterization with the SMCM as a central element."
49,49,10.1002/2017ef000663,"research problem, Global Mean Sea level Rise Projection, Global Mean Sea level Rise Projection, Global Mean Sea level Rise Projection, research problem, research problem, research problem, Global Mean Sea level Rise Projection, research problem, research problem, Global Mean Sea level Rise Projection, Global Mean Sea level Rise Projection",Evolving Understanding of Antarctic Ice‐Sheet Physics and Ambiguity in Probabilistic Sea‐Level Projections,http://orkg.org/orkg/resource/R48300,Climate,"Mechanisms such as ice‐shelf hydrofracturing and ice‐cliff collapse may rapidly increase discharge from marine‐based ice sheets. Here, we link a probabilistic framework for sea‐level projections to a small ensemble of Antarctic ice‐sheet (AIS) simulations incorporating these physical processes to explore their influence on global‐mean sea‐level (GMSL) and relative sea‐level (RSL). We compare the new projections to past results using expert assessment and structured expert elicitation about AIS changes. Under high greenhouse gas emissions (Representative Concentration Pathway [RCP] 8.5), median projected 21st century GMSL rise increases from 79 to 146 cm. Without protective measures, revised median RSL projections would by 2100 submerge land currently home to 153 million people, an increase of 44 million. The use of a physical model, rather than simple parameterizations assuming constant acceleration of ice loss, increases forcing sensitivity: overlap between the central 90% of simulations for 2100 for RCP 8.5 (93–243 cm) and RCP 2.6 (26–98 cm) is minimal. By 2300, the gap between median GMSL estimates for RCP 8.5 and RCP 2.6 reaches &gt;10 m, with median RSL projections for RCP 8.5 jeopardizing land now occupied by 950 million people (versus 167 million for RCP 2.6). The minimal correlation between the contribution of AIS to GMSL by 2050 and that in 2100 and beyond implies current sea‐level observations cannot exclude future extreme outcomes. The sensitivity of post‐2050 projections to deeply uncertain physics highlights the need for robust decision and adaptive management frameworks."
50,50,10.1002/2017ef000688,"research problem, Global Mean Sea level Rise Projection, Global Mean Sea level Rise Projection, research problem",21st Century Sea-Level Rise in Line with the Paris Accord,http://orkg.org/orkg/resource/R49070,Climate,"<jats:sec>As global average sea‐level rises in the early part of this century there is great interest in how much global and local sea level will change in the forthcoming decades. The Paris Climate Agreement's proposed temperature thresholds of 1.5°C and 2°C have directed the research community to ask what differences occur in the climate system for these two states. We have developed a novel approach to combine climate model outputs that follow specific temperature pathways to make probabilistic projections of sea‐level in a 1.5°C and 2°C world. We find median global sea‐level (GSL) projections for 1.5°C and 2°C temperature pathways of 44 and 50 cm, respectively. The 90% uncertainty ranges (5%–95%) are both around 48 cm by 2100. In addition, we take an alternative approach to estimate the contribution from ice sheets by using a semi‐empirical GSL model. Here we find median projections of 58 and 68 cm for 1.5°C and 2°C temperature pathways. The 90% uncertainty ranges are 67 and 82 cm respectively. Regional projections show similar patterns for both temperature pathways, though differences vary between the median projections (2–10 cm) and 95th percentile (5–20 cm) for the bulk of oceans using process‐based approach and 10–15 cm (median) and 15–25 cm (95th percentile) using the semi‐empirical approach.</jats:sec><jats:sec><jats:title>Plain Language Summary</jats:title>The sea level you experience at the coast can be estimated by the sum of contributions from ocean expansion, currents, ice melt from glaciers and ice sheets, land‐water extraction/damming, and land motion. How sea level changes depends strongly on where you are because each contribution has a unique pattern. We use knowledge of these changes to make projections about future sea‐level rise. We estimate how much sea‐level could change if societies achieve either of the Paris Climate Agreement's temperature targets by 2100. If we reach 1.5°C or 2.0°C by 2100, GSL should rise around 44–50 cm, respectively. Using a slightly different method we find the global rise could be 58–68 cm. An incomplete picture of the sea‐level components means that estimates could be out by up to 80 cm, though all projections show a sea‐level rise of at least 20 cm.</jats:sec>"
